"hex_id","mean_richness_difference","mean_replacement","replacement_ratio","pland_wet_dense_2500m","pland_sclerophyll_2500m","pland_mallee_arid_2500m","PLAND_habitat_2500m","area_mn_woodland_2500m","cohesion_woodland_2500m","pland_native_prod_2500m","pland_plantation_2500m","pland_agriculture_2500m","S_obs","sampling_units","chao2_estimate","chao2_se","chao2_completeness","sample_coverage","Q1","Q2","chao_status","n_checklists","n_miner_checklists","miner_detection_rate","x","y","log_effort","ibra_sub"
"hex_0499437",0.264880779248803,0.457226329097511,0.633183531657233,-0.554853965559743,0.509742782270452,-0.207403708136466,-0.00703709111884131,-0.444180963642316,0.434729915604637,-0.730971457481189,-0.274612784004078,1.32086592213841,43,9,49.4,4.914,0.870445344129555,0.9129,12,10,"ok",9,4,0.444444444444444,360101.263260396,-4000311.87674316,2.19722457733622,"Victorian Riverina"
"hex_0500996",0.278350985807651,0.514200171835733,0.648791143482377,-0.554853965559743,0.221436627542725,-0.207403708136466,-0.278601830540824,-0.460317844374907,0.32251043340452,-0.730971457481189,-0.274612784004078,1.57835266004872,25,6,27.963,2.886,0.894038550942317,0.8959,8,9,"ok",6,1,0.166666666666667,363560.088444359,-3997708.80705764,1.79175946922805,"Victorian Riverina"
"hex_0500997",0.266284806057884,0.45140059032291,0.628967222405907,-0.554853965559743,0.271028360183725,-0.207403708136466,-0.23188979983563,-0.46567042840115,0.190767146948688,-0.730971457481189,-0.274612784004078,1.40488559175467,28,14,39.236,9.077,0.713630339484147,0.8647,11,5,"ok",14,4,0.285714285714286,363037.012246948,-3993409.90911513,2.63905732961526,"Victorian Riverina"
"hex_0506691",0.244198560171295,0.461876626027809,0.654146520166148,-0.554853965559743,-0.126233773549547,-0.207403708136466,-0.606083642250752,-0.493485377523577,0.229898722079635,-0.730971457481189,-0.00936117754931956,1.2405891407076,32,6,41.074,6.461,0.779081657496226,0.8204,14,9,"ok",6,0,0,387360.453736791,-4079978.53372868,1.79175946922805,"Highlands-Northern Fall"
"hex_0508258",0.438511128558988,0.291684533763912,0.399460786765022,-0.554853965559743,0.401237827829361,-0.145859850014275,-0.0857846423404817,-0.466362021776962,0.47125581596098,-0.730971457481189,-0.274612784004078,1.48690871084341,68,48,79.394,7.46,0.856487895810766,0.9424,16,11,"ok",48,1,0.0208333333333333,386650.941451286,-4042917.38491925,3.87120101090789,"Inland Slopes"
"hex_0508265",0.318638944823701,0.454054977731289,0.587625920791393,-0.554853965559743,0.0234502003458035,-0.207403708136466,-0.465091545134664,-0.489995113062636,0.0354054789899115,-0.730971457481189,-0.274612784004078,1.75063835641748,22,9,25.63,3.654,0.858369098712446,0.8932,7,6,"ok",9,1,0.111111111111111,383006.82741803,-4012797.89727682,2.19722457733622,"Victorian Riverina"
"hex_0508789",0.476169356152931,0.351008436542826,0.424344608429218,-0.554853965559743,0.213369465832299,-0.207403708136466,-0.286200546807688,-0.471671599156307,0.314017855694158,-0.730971457481189,-0.274612784004078,1.35830932172937,14,6,16.083,2.534,0.870484362370205,0.8677,5,5,"ok",6,3,0.5,381903.172301971,-3993298.24266046,1.79175946922805,"Victorian Riverina"
"hex_0509284",0.370875849290742,0.408382914905688,0.524065860621807,-0.554853965559743,-0.350615671467948,-0.207403708136466,-0.817436090472906,-0.502793916425284,-1.13486261695368,-0.730971457481189,-0.274612784004078,1.50090731277027,18,7,20.204,2.477,0.890912690556325,0.892,6,7,"ok",7,0,0,395883.926765235,-4098621.99738444,1.94591014905531,"Central Victorian Uplands"
"hex_0511902",0.241073476824201,0.491043902914017,0.670717451195598,-0.554853965559743,-0.595435686171097,-0.207403708136466,-1.0480398511208,-0.50155971018,-0.616520479097479,-0.730971457481189,-0.274612784004078,1.37896146635854,35,10,44,7.589,0.795454545454545,0.9224,10,5,"ok",10,3,0.3,391424.767964336,-4009594.99468058,2.30258509299405,"Victorian Riverina"
"hex_0513449",0.278148825318156,0.423744616656039,0.603716449414579,-0.554853965559743,-0.833064668489884,-0.207403708136466,-1.27187014958756,-0.5107275519173,-3.33836314653436,-0.730971457481189,-0.274612784004078,1.73980205218219,44,7,49.61,4.355,0.886917960088692,0.9309,12,11,"ok",7,0,0,401111.976470452,-4058635.83399158,1.94591014905531,"Central Victorian Uplands"
"hex_0515004",0.25002995600871,0.44088184140484,0.638115954967472,-0.554853965559743,0.698830468393097,-0.207403708136466,0.171070616149134,-0.459281161140666,0.336690938301257,-0.730971457481189,-0.274612784004078,1.02961712592049,37,6,40.375,3.095,0.91640866873065,0.9395,9,10,"ok",6,0,0,406638.97970806,-4073261.92558893,1.79175946922805,"Central Victorian Uplands"
"hex_0515009",0.370692069937674,0.332705756795121,0.472997987981428,-0.554853965559743,1.77767640526294,-0.207403708136466,1.18726992691032,-0.336505194977398,0.512489212394784,-0.730971457481189,-0.274612784004078,-0.442756165414047,58,12,69.065,8.138,0.839788604937378,0.9425,13,7,"ok",12,5,0.416666666666667,404048.863192827,-4051726.11096558,2.484906649788,"Inland Slopes"
